iter	Passed	Remaining
0	6	642
1	12	636
2	19	624
3	26	627
4	31	606
5	40	627
6	46	618
7	53	616
8	60	607
9	67	605
10	73	593
11	79	584
12	85	570
13	90	558
14	97	552
15	105	551
16	111	544
17	118	538
18	124	529
19	129	518
20	136	512
21	142	503
22	147	493
23	153	487
24	159	478
25	164	469
26	171	462
27	177	456
28	182	447
29	188	440
30	194	431
31	199	424
32	206	420
33	213	413
34	218	406
35	225	400
36	231	393
37	236	386
38	242	379
39	248	372
40	253	365
41	259	358
42	265	352
43	271	345
44	277	339
45	283	332
46	288	325
47	294	318
48	300	312
49	305	305
50	311	299
51	318	294
52	324	288
53	330	281
54	336	275
55	344	270
56	352	265
57	358	259
58	363	252
59	370	246
60	376	240
61	382	234
62	389	228
63	396	222
64	402	216
65	409	210
66	416	205
67	423	199
68	429	193
69	436	186
70	442	180
71	448	174
72	454	168
73	460	161
74	466	155
75	472	149
76	478	142
77	484	136
78	490	130
79	496	124
80	502	117
81	512	112
82	520	106
83	527	100
84	533	94
85	539	87
86	545	81
87	552	75
88	557	68
89	565	62
90	572	56
91	580	50
92	586	44
93	593	37
94	600	31
95	607	25
96	614	19
97	620	12
98	628	6
99	634	0
